date_start,data_end,name,ticker,retorno,ret
6/1/2020,6/30/2020,ITAUSA PN ,ITSA4<XBSP>,8.484162896,0.084841629
6/1/2020,6/30/2020,SÃO MARTINHO ON ,SMTO3<XBSP>,9.161091096,0.091610911
6/1/2020,6/30/2020,TELEFÔNICA BRASIL PN ,VIVT4<XBSP>,1.887993212,0.018879932
6/1/2020,6/30/2020,RUMO LOG. ON ,RUMO3<XBSP>,,
6/1/2020,6/30/2020,TRANSMISSÃO PAULISTA PN ,TRPL4<XBSP>,0.528846154,0.005288462
6/1/2020,6/30/2020,ECORODOVIAS ON ,ECOR3<XBSP>,-1.368821293,-0.013688213
6/1/2020,6/30/2020,TAESA UNIT ,TAEE11<XBSP>,-1.541695866,-0.015416959
6/1/2020,6/30/2020,SUZANO PAPEL PNA ,SUZB3<XBSP>,-2.826201796,-0.028262018
6/1/2020,6/30/2020,B3 ON ,B3SA3<XBSP>,20.94401756,0.209440176
6/1/2020,6/30/2020,IOCHPE-MAXION ON ,MYPK3<XBSP>,-2.099927589,-0.020999276
6/1/2020,6/30/2020,AES TIETÊ UNIT ,AESB3<XBSP>,15.62269713,0.156226971
6/1/2020,6/30/2020,SER EDUCACIONAL ON ,SEER3<XBSP>,3.021978022,0.03021978
6/1/2020,6/30/2020,CVC BRASIL ON ,CVCB3<XBSP>,25.97222222,0.259722222
6/1/2020,6/30/2020,USIMINAS PNA ,USIM5<XBSP>,18.21138211,0.182113821
6/1/2020,6/30/2020,RUMO ON ,RAIL3<XBSP>,-0.177541056,-0.001775411
6/1/2020,6/30/2020,CARREFOUR BR ON ,CRFB3<XBSP>,6.814494321,0.068144943
6/1/2020,6/30/2020,VIA VAREJO UNIT ,VVAR11<XBSP>,,
6/1/2020,6/30/2020,TENDA ON ,TEND3<XBSP>,23.59505779,0.235950578
6/1/2020,6/30/2020,BRASKEM PNA ,BRKM5<XBSP>,-16.29416006,-0.162941601
6/1/2020,6/30/2020,ITAU UNIBANCO PN ,ITUB4<XBSP>,10.5320304,0.105320304
6/1/2020,6/30/2020,SMILES ON ,SMLS3<XBSP>,21.77152318,0.217715232
6/1/2020,6/30/2020,BRF S.A. ON ,BRFS3<XBSP>,-8.084738435,-0.080847384
6/1/2020,6/30/2020,BRASIL ON ,BBAS3<XBSP>,4.247730221,0.042477302
6/1/2020,6/30/2020,VIAVAREJO UNT ,VVAR11<XBSP>,,
6/1/2020,6/30/2020,SID NACIONAL ON ,CSNA3<XBSP>,3.488372093,0.034883721
6/1/2020,6/30/2020,MAGAZINE LUIZA ON ,MGLU3<XBSP>,11.34421134,0.113442113
6/1/2020,6/30/2020,SUZANO PAPEL ON ,SUZB3<XBSP>,-2.826201796,-0.028262018
6/1/2020,6/30/2020,CCR SA ON ,CCRO3<XBSP>,-1.360544218,-0.013605442
6/1/2020,6/30/2020,KLABIN S/A UNT ,KLBN11<XBSP>,3.145611365,0.031456114
6/1/2020,6/30/2020,IRB BRASIL RESSEGUROS ON ,IRBR3<XBSP>,32.53012048,0.325301205
6/1/2020,6/30/2020,RAIADROGASIL ON ,RADL3<XBSP>,1.214781425,0.012147814
6/1/2020,6/30/2020,P.ACUCAR - CBD PN ,PCAR4<XBSP>,,
6/1/2020,6/30/2020,NATURA ON ,NTCO3<XBSP>,7.315761162,0.073157612
6/1/2020,6/30/2020,BBSEGURIDADE ON ,BBSE3<XBSP>,7.871835443,0.078718354
6/1/2020,6/30/2020,CYRELA REALT ON ,CYRE3<XBSP>,34.80825959,0.348082596
6/1/2020,6/30/2020,JBS ON ,JBSS3<XBSP>,-3.732362312,-0.037323623
6/1/2020,6/30/2020,VIA VAREJO ON ,VIIA3<XBSP>,23.46774194,0.234677419
6/1/2020,6/30/2020,BR MALLS PART ON ,BRML3<XBSP>,2.752293578,0.027522936
6/1/2020,6/30/2020,COGNA ON ,COGN3<XBSP>,25.66539924,0.256653992
6/1/2020,6/30/2020,HAPVIDA ON ,HAPV3<XBSP>,13.32482683,0.133248268
6/1/2020,6/30/2020,YDUQS PART ON ,YDUQ3<XBSP>,18.15308989,0.181530899
6/1/2020,6/30/2020,ENGIE BRASIL ON ,EGIE3<XBSP>,-0.754539024,-0.00754539
6/1/2020,6/30/2020,P.ACUCAR - CBD ON ,PCAR3<XBSP>,12.70244522,0.127024452
6/1/2020,6/30/2020,LOCAWEB ON ,LWSA3<XBSP>,64.88549618,0.648854962
6/1/2020,6/30/2020,GRUPO NATURA ON ,NTCO3<XBSP>,7.315761162,0.073157612
6/1/2020,6/30/2020,ENEVA ON ,ENEV3<XBSP>,17.77952344,0.177795234
